bigram	frequency	relative frequency	mutual information
. ``	488.0	0.007173727692352924	0.009520348043867293
, and	442.0	0.006497515655778673	0.007617746890791759
. he	442.0	0.006497515655778673	0.0076948669799145435
of the	366.0	0.005380295769264693	0.01948360258234712
in the	335.0	0.004924587657660307	0.02263532918308999
. the	323.0	0.004748184517684415	0.003474560579375764
'' .	299.0	0.0043953782377326315	0.02366851255540835
he was	190.0	0.00279304971628495	0.008151768083304908
to the	181.0	0.002660747361303031	0.006486989608876045
, the	177.0	0.0026019463146444008	-0.0003847962369949253
on the	176.0	0.002587246052979743	0.015230852778976381
, he	173.0	0.00254314526798577	-0.000459966398366928
he had	173.0	0.00254314526798577	0.007078496486747211
'' ,	171.0	0.002513744744656455	0.011509719519727006
at the	154.0	0.002263840296357275	0.013709419728067267
it was	154.0	0.002263840296357275	0.010935954982136018
! !	142.0	0.0020874371563813837	0.014414340805220529
, but	142.0	0.0020874371563813837	-0.000972216084069996
. it	137.0	0.0020139358480580952	-0.001018230151311944
'' ?	128.0	0.0018816334930761769	0.007829217277298598
and the	121.0	0.0017787316614235734	0.0024810183011992303
. she	120.0	0.0017640313997589157	-0.0012290600099923766
. i	118.0	0.0017346308764296004	-0.0012506362188896445
was a	96.0	0.0014112251198071326	0.0034675497046201082
had been	91.0	0.0013377238114838444	0.0047452191198893
to be	90.0	0.0013230235498191867	0.0018919767434251373
from the	89.0	0.0013083232881545292	0.008867459355152782
in a	85.0	0.0012495222414958987	0.003270954848346971
for the	85.0	0.0012495222414958987	0.006344381034604834
him .	84.0	0.001234821979831241	0.006535280766558016
there was	82.0	0.0012054214565019258	0.008272815081660962
, a	81.0	0.0011907211948372681	-0.0015189356258454713
, ``	81.0	0.0011907211948372681	-0.0015189356258454713
`` i	80.0	0.0011760209331726104	0.0040716135330443395
of a	79.0	0.001161320671507953	0.0016367296970798543
into the	77.0	0.0011319201481786376	0.008945461077586645
. they	76.0	0.0011172198865139799	-0.001514611332868381
with a	75.0	0.0011025196248493224	0.004908514803422188
with the	73.0	0.001073119101520007	0.004735775727846762
. but	72.0	0.0010584188398553493	-0.00151745427518613
of his	71.0	0.0010437185781906918	0.0013102171577171976
, she	65.0	0.000955517008202746	-0.001522258591220822
did not	65.0	0.000955517008202746	0.007827946238218987
'' !	64.0	0.0009408167465380884	0.002973791892111211
she was	64.0	0.0009408167465380884	0.0043205977749152455
she had	63.0	0.0009261164848734307	0.004232046997297882
in his	62.0	0.0009114162232087731	0.001971001181579277
. there	60.0	0.0008820156998794579	-0.0014965457048756459
was the	60.0	0.0008820156998794579	0.0015691484994310471
said ,	56.0	0.0008232146532208273	0.005484715108810031
said .	56.0	0.0008232146532208273	0.005484715108810031
he would	56.0	0.0008232146532208273	0.0009517099911957811
out of	56.0	0.0008232146532208273	0.0051325959912468955
, with	55.0	0.0008085143915561697	-0.0014829234787326537
and he	55.0	0.0008085143915561697	0.0002080476220565179
it .	55.0	0.0008085143915561697	0.0027047092405349613
, i	55.0	0.0008085143915561697	-0.0014829234787326537
would be	55.0	0.0008085143915561697	0.004419855066663409
. and	54.0	0.000793814129891512	-0.0014675533377519821
. when	54.0	0.000793814129891512	-0.0014675533377519821
, as	54.0	0.000793814129891512	-0.001476975249092775
, his	53.0	0.0007791138682268545	-0.0014706342563615606
he could	52.0	0.0007644136065621968	0.0008020032694882144
, in	52.0	0.0007644136065621968	-0.0014638930890432031
. in	52.0	0.0007644136065621968	-0.0014548201373816988
like a	48.0	0.0007056125599035663	0.005054430809030407
they were	48.0	0.0007056125599035663	0.0035703665640310868
him ,	47.0	0.0006909122982389086	0.0030778482184523484
was not	47.0	0.0006909122982389086	0.0009857567169814594
that he	46.0	0.000676212036574251	0.002203672055820099
that the	46.0	0.000676212036574251	0.002203672055820099
the same	46.0	0.000676212036574251	-0.0014869200106695968
by the	45.0	0.0006615117749095934	0.0044173276200422445
. a	45.0	0.0006615117749095934	-0.0013969614714587216
? ``	45.0	0.0006615117749095934	0.003484697725169899
had to	44.0	0.0006468115132449358	0.0016162983899578954
one of	44.0	0.0006468115132449358	0.004183147480077381
for a	42.0	0.0006174109899156205	0.0025069182641636626
he said	42.0	0.0006174109899156205	0.0004575337801149813
when he	41.0	0.0006027107282509629	0.003762515408824504
but he	41.0	0.0006027107282509629	0.003003875435189012
a little	41.0	0.0006027107282509629	0.0003849513148389889
. his	41.0	0.0006027107282509629	-0.0013537318272305611
. then	40.0	0.0005880104665863052	-0.0013416612095683029
on his	40.0	0.0005880104665863052	0.002204683005437288
, to	40.0	0.0005880104665863052	-0.0013486404031540756
, for	39.0	0.0005733102049216476	-0.0013358650505441243
i was	39.0	0.0005733102049216476	0.0019183370507084797
down the	37.0	0.0005439096815923324	0.003939008760392568
and a	37.0	0.0005439096815923324	-0.00017110609020111356
and then	37.0	0.0005439096815923324	-0.00017110609020111356
: ``	37.0	0.0005439096815923324	0.004612270860408629
to him	36.0	0.0005292094199276747	5.7213897088617735e-05
, they	36.0	0.0005292094199276747	-0.001294217831747935
they had	36.0	0.0005292094199276747	0.002458133168781725
it ,	35.0	0.0005145091582630171	0.00138567917533301
to his	35.0	0.0005145091582630171	3.47139489356215e-05
if he	35.0	0.0005145091582630171	0.0036963940407947118
over the	34.0	0.0004998088965983595	0.0038973301433824345
to get	34.0	0.0004998088965983595	1.2820025953694164e-05
, or	34.0	0.0004998088965983595	-0.0012635321623919392
to go	33.0	0.0004851086349337018	-8.450042518491253e-06
them .	33.0	0.0004851086349337018	0.0030304217604008835
as the	32.0	0.0004704083732690442	0.002066595564996632
of her	32.0	0.0004704083732690442	4.966973695500954e-05
, was	32.0	0.0004704083732690442	-0.001230349993948827
he did	32.0	0.0004704083732690442	0.00016404776514743002
through the	31.0	0.0004557081116043866	0.004126284244671905
all the	31.0	0.0004557081116043866	0.002549461986535018
as a	30.0	0.00044100784993972894	0.0018963713639444863
i don't	30.0	0.00044100784993972894	0.0013087172880120448
could not	30.0	0.00044100784993972894	0.0027242308194490197
as he	30.0	0.00044100784993972894	0.0018963713639444863
had a	29.0	0.0004263075882750713	0.0008088846104245531
seemed to	29.0	0.0004263075882750713	0.003986099583333355
